,support,itemsets
0,0.32051282051282054,"frozenset({'SSL (280,285]'})"
1,0.6410256410256411,"frozenset({'asian (-0.049,4.9]'})"
2,0.6282051282051282,"frozenset({'black (-0.097,48.5]'})"
3,0.358974358974359,"frozenset({'black (48.5,97.1]'})"
4,0.5,"frozenset({'crimes (105,550]'})"
5,0.5256410256410257,"frozenset({'hispanic (0.915,18]'})"
6,0.6282051282051282,frozenset({'hospital 0'})
7,0.3333333333333333,frozenset({'other 1'})
8,0.3076923076923077,frozenset({'other 2'})
9,0.44871794871794873,"frozenset({'park (4.96e+03,1.97e+05]'})"
10,0.3333333333333333,"frozenset({'school (3.57,4.05]'})"
11,0.48717948717948717,"frozenset({'white (-0.084,16.8]'})"
12,0.3333333333333333,"frozenset({'black (-0.097,48.5]', 'asian (-0.049,4.9]'})"
13,0.3076923076923077,"frozenset({'asian (-0.049,4.9]', 'black (48.5,97.1]'})"
14,0.3333333333333333,"frozenset({'hispanic (0.915,18]', 'asian (-0.049,4.9]'})"
15,0.4230769230769231,"frozenset({'hospital 0', 'asian (-0.049,4.9]'})"
16,0.3076923076923077,"frozenset({'other 1', 'asian (-0.049,4.9]'})"
17,0.34615384615384615,"frozenset({'park (4.96e+03,1.97e+05]', 'asian (-0.049,4.9]'})"
18,0.4358974358974359,"frozenset({'white (-0.084,16.8]', 'asian (-0.049,4.9]'})"
19,0.48717948717948717,"frozenset({'crimes (105,550]', 'black (-0.097,48.5]'})"
20,0.3974358974358974,"frozenset({'hospital 0', 'black (-0.097,48.5]'})"
21,0.3076923076923077,"frozenset({'park (4.96e+03,1.97e+05]', 'black (-0.097,48.5]'})"
22,0.32051282051282054,"frozenset({'hispanic (0.915,18]', 'black (48.5,97.1]'})"
23,0.32051282051282054,"frozenset({'white (-0.084,16.8]', 'black (48.5,97.1]'})"
24,0.3333333333333333,"frozenset({'hospital 0', 'crimes (105,550]'})"
25,0.358974358974359,"frozenset({'hospital 0', 'park (4.96e+03,1.97e+05]'})"
26,0.32051282051282054,"frozenset({'hospital 0', 'white (-0.084,16.8]'})"
27,0.32051282051282054,"frozenset({'hospital 0', 'crimes (105,550]', 'black (-0.097,48.5]'})"
