,antecedents,consequents,support,confidence
0,"frozenset({'white (-0.084,16.8]'})","frozenset({'asian (-0.049,4.9]'})",0.4358974358974359,0.8947368421052632
1,"frozenset({'crimes (105,550]'})","frozenset({'black (-0.097,48.5]'})",0.48717948717948717,0.9743589743589743
